BENIDORM CHESS OPEN “A” (U2400);;;;;;;;;;;;;;;;
Benidorm, Alicante, Spain, 2021-12-04 - 2021-12-12;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Clasificación   ;;;;;;;;;;;;;;;;
Pos.;Ran.;Tít.;Nombre;Fed.;Pts.;DirE;APRO;BucM;ARO.;Mwns;User;MBlk;FIDE;Nac.;Origen/Club;Info
1;5;IM;Srijit Paul;IND;7,5;0.0;2221.2;39.5;2218.0;7;0.0;5;2340;0;;
2;17;FM;Gonzalez Guedes, Iyan;ESP;7,0;0.0;2200.0;37.0;2085.3;6;0.0;5;2227;2297;;
3;7;FM;Mingarro Carceller, Sergi;ESP;7,0;0.0;2166.1;36.0;2142.1;6;0.0;5;2309;2303;;
4;2;FM;Manu David Suthandram R;IND;6,5;0.0;2271.8;42.5;2254.2;5;0.0;4;2360;0;;
5;8;;Garcia Molina, Francisco Miguel;ESP;6,5;0.0;2192.2;37.5;2042.2;4;0.0;4;2294;2292;;
6;35;;Barath Kalyan M;IND;6,5;0.0;2151.1;36.5;2141.3;5;0.0;5;2103;0;;
7;10;FM;Santagati, Alessandro;ITA;6,0;0.0;2296.3;42.0;2244.7;4;0.0;4;2279;0;;
8;4;IM;Granero Roca, Antonio;ESP;6,0;0.0;2237.7;40.5;2237.7;4;0.0;5;2352;2350;;
9;9;FM;Ibanez Aullana, Ramon;ESP;6,0;0.0;2218.6;38.5;2209.2;4;0.0;5;2291;2285;;
10;14;;Kuling, Lody;NED;6,0;0.0;2213.0;38.5;2161.1;5;0.0;4;2240;0;;
11;18;CM;Rajarishi Karthi;IND;6,0;0.0;2209.0;37.0;2176.0;4;0.0;4;2207;0;;
12;6;FM;Davtyan, David Arm.;ARM;6,0;0.0;2207.0;37.5;2090.6;5;0.0;4;2337;2349;;
13;12;IM;Mannion, Stephen R;SCO;6,0;0.0;2177.1;38.0;2167.4;3;0.0;4;2267;0;;
14;1;FM;Cumming, Rhys;ENG;6,0;0.0;2171.4;36.5;2133.6;4;0.0;5;2377;0;;
15;13;;Martian, Dragos-Daniel;ROU;6,0;0.0;2131.7;34.0;2134.1;6;0.0;4;2263;0;;
16;24;;Dhananjay S;IND;6,0;0.0;2123.3;34.5;2041.9;6;0.0;4;2174;0;;
17;33;;Nawin J J;IND;6,0;0.0;2121.0;36.0;2176.8;4;0.0;5;2109;0;;
18;3;IM;Srinath, Rao S.V.;IND;6,0;0.0;2106.3;32.5;2123.0;5;0.0;4;2356;0;;
19;30;;Van Kessel, Wessel;BEL;6,0;0.0;2041.2;29.5;2027.2;5;0.0;4;2154;0;;
20;11;;Rey Malde, Henrique;ESP;5,5;0.0;2204.1;37.0;2198.4;5;0.0;4;2274;2245;;
21;41;;Gugan G;IND;5,5;0.0;2174.5;37.5;2133.8;4;0.0;4;2084;0;;
22;22;;Fernandez Gil, Marco Antonio;ESP;5,5;0.0;2141.3;36.0;2075.0;4;0.0;4;2176;2180;;
23;50;;Unciti Juan, Javier;ESP;5,5;0.0;2078.6;32.0;2078.8;5;0.0;5;2025;2060;;
24;70;;Harsh Suresh;IND;5,5;0.0;2077.6;36.5;2177.9;5;0.0;4;1922;0;;
25;51;;Atienza Alvarez, Javier;ESP;5,5;0.0;2048.1;31.5;2054.6;5;0.0;4;2019;2020;;
26;29;;Jordan Martinez, David;ESP;5,0;0.0;2174.7;37.0;2109.3;4;0.0;5;2155;2152;;
27;42;;Lombardi, Mariano;ITA;5,0;0.0;2168.9;36.5;2006.8;4;0.0;4;2071;0;;
28;27;;Thanke, Bror;NOR;5,0;0.0;2073.7;31.5;2015.8;4;0.0;4;2168;0;;
29;48;;Van der Hagen, Loek;NED;5,0;0.0;2051.4;31.5;2140.3;5;0.0;4;2051;0;;
30;80;;Chua, Chee Sian Sebastien;MAS;5,0;0.0;2046.2;32.5;2108.9;4;0.0;4;1825;0;;
31;53;;Donate Moreno, Silvia;ESP;5,0;0.0;2042.3;30.5;2054.4;5;0.0;5;2008;2009;;
32;37;;Rodriguez Perez, Jorge;ESP;5,0;0.0;2026.0;29.5;1996.3;3;0.0;5;2095;2076;;
33;76;;Harish, Neeraj;USA;5,0;0.0;1993.7;28.0;2096.7;5;0.0;5;1851;0;;
34;77;;Vishal Choudary B;IND;5,0;0.0;1770.0;26.5;1998.3;5;0.0;4;1846;0;;
35;32;;Grundekjon, Christian;NOR;4,5;0.0;2156.3;34.5;2044.7;3;0.0;4;2111;0;;
36;31;;Draghici Flutur, Gavril;ESP;4,5;0.0;2108.7;33.5;2100.0;3;0.0;5;2118;2093;;
37;66;;Nazarov, Alexander;RUS;4,5;0.0;2089.3;35.0;2128.2;3;0.0;4;1939;1938;;
38;19;FM;Garcia Callejo, Jesus;ESP;4,5;0.0;2081.1;33.0;2036.7;3;0.0;5;2185;2244;;
39;44;;Hiren K G;IND;4,5;0.0;2069.3;31.0;2062.8;3;0.0;5;2058;0;;
40;65;;Pedchenko Bondar, Alexandr;ESP;4,5;0.0;2045.9;34.0;2157.7;3;0.0;4;1955;1954;;
41;67;;Devnani Kush;IND;4,5;0.0;2030.3;31.0;2037.6;4;0.0;5;1934;0;;
42;16;;Korneev Leskova, Svyatoslav;ESP;4,5;0.0;2020.2;27.5;1962.1;3;0.0;4;2232;2245;;
43;63;;Sai Alagappan S;IND;4,5;0.0;1995.3;28.5;2106.1;4;0.0;5;1959;0;;
44;59;;Gil Lopez, Alejandro;ESP;4,5;0.0;1993.1;30.0;2078.6;2;0.0;5;1972;1965;;
45;45;;Karimi, Farhad;GER;4,5;0.0;1966.7;24.5;2016.6;4;0.0;5;2055;0;;
46;52;;Troffiguer, Olivier;FRA;4,5;0.0;1965.9;31.5;2123.7;3;0.0;4;2016;0;;
47;49;;Yuste Valenzuela, Alejandro;ESP;4,5;0.0;1940.8;23.5;1948.6;4;0.0;4;2034;2039;;
48;23;FM;Hristodorescu, Daniel;ROU;4,0;0.0;2157.1;35.0;2054.9;3;0.0;4;2175;0;;
49;20;CM;Garcia Almaguer, Juan Manuel;MEX;4,0;0.0;2136.2;34.0;2028.8;3;0.0;4;2184;0;;
50;34;;Minnican, Alan;SCO;4,0;0.0;2124.6;35.0;2151.8;3;0.0;4;2105;0;;
51;36;FM;Palu, Andres;ARG;4,0;0.0;2122.9;36.5;2056.8;4;0.0;4;2098;2098;;
52;54;;Fernandez Vazquez, Jorge;ESP;4,0;0.0;2076.4;31.0;1978.2;4;0.0;5;2007;1994;;
53;60;;Kabhilan S;IND;4,0;0.0;2072.2;35.0;2181.2;3;0.0;5;1968;0;;
54;39;;Aracil Serra, Javier;ESP;4,0;0.0;2039.1;26.5;1907.4;1;0.0;5;2092;2082;;
55;57;;Fernandez Lago, David;ESP;4,0;0.0;2036.4;33.0;1961.6;4;0.0;5;1977;1986;;
56;56;;Olivera Gutierrez, Albert;ESP;4,0;0.0;1983.6;29.5;2014.1;2;0.0;4;1988;2002;;
57;38;FM;Gromovs, Sergejs;ITA;4,0;0.0;1968.8;30.0;2045.6;4;0.0;4;2094;0;;
58;75;;Kocharyan Baghdasaryan, Arman;ESP;4,0;0.0;1949.1;27.0;2061.1;3;0.0;4;1853;1855;;
59;64;;Hernandez Guerra, Luna Yue;ESP;4,0;0.0;1872.8;27.5;2053.6;3;0.0;4;1956;1963;;
60;58;FM;Varga, Mariano;ARG;3,5;0.0;2118.5;35.0;2178.4;2;0.0;4;1974;1971;;
61;26;;Bevia Martinez, Luis;ESP;3,5;0.0;2111.9;33.5;2080.0;3;0.0;4;2169;2163;;
62;25;;Anglada Lobarte, Jose Andres;ESP;3,5;0.0;2095.5;31.5;2039.5;3;0.0;4;2169;2195;;
63;21;FM;Sanchez Jerez, Emilio Miguel;ESP;3,5;0.0;2055.6;29.0;1968.0;3;0.0;5;2181;2186;;
64;46;;Movsisyan, Tigran;ESP;3,5;0.0;2018.6;27.0;1878.7;2;0.0;4;2053;2055;;
65;47;;Gulbrandsen, Tor;NOR;3,5;0.0;2001.3;28.5;1956.7;3;0.0;5;2052;0;;
66;62;;Perez Ruiz, Santiago;ESP;3,5;0.0;1942.7;27.5;2054.6;2;0.0;5;1964;1972;;
67;61;;Ruiz Ureta, Ernesto;ESP;3,5;0.0;1939.1;24.0;1973.2;2;0.0;5;1965;2012;;
68;81;;Sanabria Taskila, Jenny Maria;ESP;3,5;0.0;1908.8;25.5;2002.6;2;0.0;4;1820;1830;;
69;87;;Saravanan Durga;SGP;3,5;0.0;1877.0;23.0;1954.2;2;0.0;4;1618;0;;
70;43;;Gomez Sanjuan, Hector Fernando;ESP;3,0;0.0;2047.9;31.0;2015.7;1;0.0;3;2062;2097;;
71;40;;Shivika Rohilla;IND;3,0;0.0;2038.4;28.0;1874.1;2;0.0;4;2092;0;;
72;15;;Villar Reymundo, Juan Antonio;PER;3,0;0.0;2025.4;29.0;1929.3;2;0.0;3;2234;2235;;
73;73;;Izagirre Alsua, Aritz;ESP;3,0;0.0;1975.7;29.5;2057.0;1;0.0;4;1866;1874;;
74;72;;Sakthivel Heamish Kanha;IND;3,0;0.0;1960.1;27.5;1996.0;1;0.0;4;1870;0;;
75;84;;Hernandez Diaz, Paula Sofia;MEX;3,0;0.0;1952.0;27.5;2020.0;1;0.0;4;1677;0;;
76;69;;O`Neill Y Daneiko, Jose Antonio;ESP;3,0;0.0;1947.2;27.5;2032.6;1;0.0;5;1922;1920;;
77;55;;Megias Chafer, Alejandro;ESP;3,0;0.0;1887.7;20.5;1869.9;3;0.0;5;2002;1994;;
78;86;;Steiners, Emils;LAT;2,5;0.0;1973.2;30.0;2011.0;2;0.0;4;1622;0;;
79;78;;Duller Llopis, Jouke;ESP;2,5;0.0;1951.4;27.5;1942.6;2;0.0;4;1845;1878;;
80;74;;Izquierdo Carbellido , Pablo;ESP;2,5;0.0;1858.4;25.5;1886.0;1;0.0;5;1855;1861;;
81;71;;Bosch Jorda, Ricard;ESP;2,5;0.0;1820.6;23.5;1895.2;2;0.0;5;1881;1842;;
82;79;;Fuentes Arjona, Antonio;ESP;2,5;0.0;1809.4;23.5;2007.8;2;0.0;4;1840;1878;;
83;82;;Donate Moreno, David;ESP;2,0;0.0;1921.8;27.0;2007.0;2;0.0;5;1780;1789;;
84;83;;Dapica Tejada, Ruben;ESP;1,0;0.0;1922.3;21.0;1926.9;1;0.0;4;1699;1743;;
85;85;;Ayucar Nunez, Inigo;ESP;1,0;0.0;0.0;23.0;2011.0;1;0.0;2;1664;1664;;
86;28;;Thuesen, Mogens;DEN;0,0;0.0;0.0;21.0;0.0;0;0.0;0;2163;0;;
87;68;;Vinal Gutierrez, Pedro;ESP;0,0;0.0;0.0;21.0;0.0;0;0.0;0;1925;1939;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
BENIDORM CHESS OPEN “A” (U2400) - https://info64.org/benidorm-chess-open-a-u2400;;;;;;;;;;;;;;;;
