BENIDORM CHESS OPEN “A” (U2400),,,,,,,,,
"Benidorm, Alicante, Spain, 2021-12-04 - 2021-12-12",,,,,,,,,
,,,,,,,,,
Ranking inicial   ,,,,,,,,,
Ran.,Tít.,Nombre,Fed.,FIDE,Nac.,FIDE ID,ID Nac.,Origen/Club,Info
1,FM,"Cumming, Rhys",ENG,2377,0,470163,0,,
2,FM,Manu David Suthandram R,IND,2360,0,35019562,0,,
3,IM,"Srinath, Rao S.V.",IND,2356,0,5028876,0,,
4,IM,"Granero Roca, Antonio",ESP,2352,2350,2210509,2086,,
5,IM,Srijit Paul,IND,2340,0,5094798,0,,
6,FM,"Davtyan, David Arm.",ARM,2337,2349,13310046,39324,,
7,FM,"Mingarro Carceller, Sergi",ESP,2309,2303,2246678,24133,,
8,,"Garcia Molina, Francisco Miguel",ESP,2294,2292,2278219,14837,,
9,FM,"Ibanez Aullana, Ramon",ESP,2291,2285,2207532,2880,,
10,FM,"Santagati, Alessandro",ITA,2279,0,814644,0,,
11,,"Rey Malde, Henrique",ESP,2274,2245,2244969,20360,,
12,IM,"Mannion, Stephen R",SCO,2267,0,2400111,0,,
13,,"Martian, Dragos-Daniel",ROU,2263,0,1203606,0,,
14,,"Kuling, Lody",NED,2240,0,1019686,0,,
15,,"Villar Reymundo, Juan Antonio",PER,2234,2235,3802744,32111,,
16,,"Korneev Leskova, Svyatoslav",ESP,2232,2245,22267565,23885,,
17,FM,"Gonzalez Guedes, Iyan",ESP,2227,2297,24524131,30289,,
18,CM,Rajarishi Karthi,IND,2207,0,5092523,0,,
19,FM,"Garcia Callejo, Jesus",ESP,2185,2244,2200724,282,,
20,CM,"Garcia Almaguer, Juan Manuel",MEX,2184,0,5110491,0,,
21,FM,"Sanchez Jerez, Emilio Miguel",ESP,2181,2186,2256088,13605,,
22,,"Fernandez Gil, Marco Antonio",ESP,2176,2180,2252090,13679,,
23,FM,"Hristodorescu, Daniel",ROU,2175,0,1203100,0,,
24,,Dhananjay S,IND,2174,0,5092892,0,,
25,,"Anglada Lobarte, Jose Andres",ESP,2169,2195,2205114,34,,
26,,"Bevia Martinez, Luis",ESP,2169,2163,2201216,91,,
27,,"Thanke, Bror",NOR,2168,0,1502360,0,,
28,,"Thuesen, Mogens",DEN,2163,0,1400878,0,,
29,,"Jordan Martinez, David",ESP,2155,2152,2283964,16353,,
30,,"Van Kessel, Wessel",BEL,2154,0,233404,0,,
31,,"Draghici Flutur, Gavril",ESP,2118,2093,1206508,5829,,
32,,"Grundekjon, Christian",NOR,2111,0,1512625,0,,
33,,Nawin J J,IND,2109,0,45031231,0,,
34,,"Minnican, Alan",SCO,2105,0,2400987,0,,
35,,Barath Kalyan M,IND,2103,0,25016555,0,,
36,FM,"Palu, Andres",ARG,2098,2098,119288,40615,,
37,,"Rodriguez Perez, Jorge",ESP,2095,2076,2220776,11854,,
38,FM,"Gromovs, Sergejs",ITA,2094,0,811394,0,,
39,,"Aracil Serra, Javier",ESP,2092,2082,2220601,39,,
40,,Shivika Rohilla,IND,2092,0,45015414,0,,
41,,Gugan G,IND,2084,0,45092931,0,,
42,,"Lombardi, Mariano",ITA,2071,0,821586,0,,
43,,"Gomez Sanjuan, Hector Fernando",ESP,2062,2097,22274960,25089,,
44,,Hiren K G,IND,2058,0,35053400,0,,
45,,"Karimi, Farhad",GER,2055,0,24606936,0,,
46,,"Movsisyan, Tigran",ESP,2053,2055,24581364,32574,,
47,,"Gulbrandsen, Tor",NOR,2052,0,1504142,0,,
48,,"Van der Hagen, Loek",NED,2051,0,1052853,0,,
49,,"Yuste Valenzuela, Alejandro",ESP,2034,2039,54535760,34238,,
50,,"Unciti Juan, Javier",ESP,2025,2060,2216027,1271,,
51,,"Atienza Alvarez, Javier",ESP,2019,2020,24511668,29819,,
52,,"Troffiguer, Olivier",FRA,2016,0,607835,0,,
53,,"Donate Moreno, Silvia",ESP,2008,2009,24581887,32507,,
54,,"Fernandez Vazquez, Jorge",ESP,2007,1994,22222294,20140,,
55,,"Megias Chafer, Alejandro",ESP,2002,1994,2220717,12699,,
56,,"Olivera Gutierrez, Albert",ESP,1988,2002,2230070,8754,,
57,,"Fernandez Lago, David",ESP,1977,1986,2280736,15486,,
58,FM,"Varga, Mariano",ARG,1974,1971,101575,15362,,
59,,"Gil Lopez, Alejandro",ESP,1972,1965,32065795,27847,,
60,,Kabhilan S,IND,1968,0,46636404,0,,
61,,"Ruiz Ureta, Ernesto",ESP,1965,2012,22229833,1934,,
62,,"Perez Ruiz, Santiago",ESP,1964,1972,22228225,15653,,
63,,Sai Alagappan S,IND,1959,0,25601113,0,,
64,,"Hernandez Guerra, Luna Yue",ESP,1956,1963,32089910,29649,,
65,,"Pedchenko Bondar, Alexandr",ESP,1955,1954,24522732,29225,,
66,,"Nazarov, Alexander",RUS,1939,1938,24164950,31788,,
67,,Devnani Kush,IND,1934,0,45093806,0,,
68,,"Vinal Gutierrez, Pedro",ESP,1925,1939,2212870,11001,,
69,,"O`Neill Y Daneiko, Jose Antonio",ESP,1922,1920,2237733,549,,
70,,Harsh Suresh,IND,1922,0,45018464,0,,
71,,"Bosch Jorda, Ricard",ESP,1881,1842,24541001,29878,,
72,,Sakthivel Heamish Kanha,IND,1870,0,25644890,0,,
73,,"Izagirre Alsua, Aritz",ESP,1866,1874,2294001,16764,,
74,,"Izquierdo Carbellido , Pablo",ESP,1855,1861,24510297,28861,,
75,,"Kocharyan Baghdasaryan, Arman",ESP,1853,1855,54534224,34364,,
76,,"Harish, Neeraj",USA,1851,0,30958130,0,,
77,,Vishal Choudary B,IND,1846,0,46660852,0,,
78,,"Duller Llopis, Jouke",ESP,1845,1878,32048998,27906,,
79,,"Fuentes Arjona, Antonio",ESP,1840,1878,2280329,964,,
80,,"Chua, Chee Sian Sebastien",MAS,1825,0,5727421,0,,
81,,"Sanabria Taskila, Jenny Maria",ESP,1820,1830,32066139,27984,,
82,,"Donate Moreno, David",ESP,1780,1789,24580171,32506,,
83,,"Dapica Tejada, Ruben",ESP,1699,1743,32022492,26839,,
84,,"Hernandez Diaz, Paula Sofia",MEX,1677,0,5146798,0,,
85,,"Ayucar Nunez, Inigo",ESP,1664,1664,24543705,33022,,
86,,"Steiners, Emils",LAT,1622,0,11629991,0,,
87,,Saravanan Durga,SGP,1618,0,35068601,0,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BENIDORM CHESS OPEN “A” (U2400) - https://info64.org/benidorm-chess-open-a-u2400,,,,,,,,,
